a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.19,-0.01,1.89,-0.06,0.04,0.02,walk,
-0.19,-0.02,1.87,-0.06,0.04,0.02,walk,
-0.21,0.01,1.91,-0.06,0.04,0.02,walk,
-0.18,-0.04,1.85,-0.06,0.04,0.02,walk,
-0.18,0.01,1.85,-0.06,0.04,0.02,walk,
-0.2,-0.02,1.86,-0.06,0.04,0.02,walk,
-0.2,0.01,1.89,-0.06,0.04,0.02,walk,
-0.16,0.01,1.9,-0.06,0.04,0.02,walk,
-0.19,0,1.91,-0.06,0.04,0.02,walk,
-0.21,0.01,1.86,-0.06,0.04,0.03,walk,
-0.18,-0.01,1.86,-0.06,0.04,0.02,walk,
-0.17,0,1.88,-0.06,0.04,0.02,walk,
-0.16,-0.01,1.88,-0.06,0.04,0.02,walk,
-0.17,0,1.88,-0.06,0.04,0.02,walk,
-0.18,-0.02,1.89,-0.06,0.04,0.02,walk,
-0.19,-0.02,1.88,-0.06,0.04,0.02,walk,
-0.21,-0.02,1.91,-0.06,0.04,0.02,walk,
-0.19,0,1.87,-0.06,0.04,0.02,walk,
-0.2,-0.02,1.83,-0.06,0.04,0.02,walk,
-0.2,-0.03,1.86,-0.06,0.04,0.02,walk,
-0.19,-0.01,1.86,-0.06,0.04,0.02,walk,
-0.19,-0.03,1.89,-0.06,0.04,0.02,walk,
-0.2,0,1.89,-0.06,0.04,0.02,walk,
-0.21,0,1.86,-0.06,0.04,0.02,walk,
-0.21,-0.01,1.88,-0.06,0.04,0.02,walk,
-0.19,0,1.86,-0.06,0.04,0.02,walk,
-0.19,0,1.9,-0.06,0.04,0.02,walk,
-0.18,0,1.87,-0.06,0.04,0.02,walk,
-0.19,-0.04,1.88,-0.06,0.04,0.02,walk,
-0.19,-0.02,1.9,-0.06,0.04,0.02,walk,
-0.19,-0.01,1.89,-0.06,0.04,0.02,walk,
-0.23,-0.01,1.88,-0.06,0.04,0.02,walk,
-0.19,0,1.89,-0.06,0.04,0.02,walk,
-0.21,0.01,1.86,-0.06,0.04,0.02,walk,
-0.2,0.01,1.85,-0.06,0.04,0.02,walk,
-0.18,-0.02,1.75,-0.06,0.04,0.02,walk,
-0.21,-0.02,1.93,-0.06,0.04,0.02,walk,
-0.21,0.01,1.87,-0.06,0.04,0.02,walk,
-0.18,0,1.85,-0.06,0.04,0.02,walk,
-0.2,0.01,1.84,-0.06,0.04,0.02,walk,
-0.2,0,1.9,-0.06,0.04,0.02,walk,
-0.19,-0.01,1.83,-0.06,0.04,0.02,walk,
